,Element_Type,Occurence
1,O,44
2,Co,39
3,C,34
4,P,25
5,Ni,22
6,N,15
7,Fe,13
8,S,11
9,Ru,10
10,Ir,9
11,Mn,7
12,Cu,6
13,Ti,5
14,B,3
15,Se,3
16,Mo,3
17,Ce,2
18,Pd,2
19,Rh,2
20,Mg,2
21,Ca,2
22,V,1
23,W,1
24,Ge,1
25,F,1
26,Na,1
27,K,1
28,Au,1
29,I,1
30,Zn,1
31,Li,1
