10.1039/c9cp05097c
10.1006/jcat.1994.1001
10.1016/j.ces.2008.02.021
10.1016/j.ensm.2019.02.025
10.1016/j.jcis.2019.07.021
10.1016/j.energy.2018.07.175
10.1039/c5ta00458f
10.1016/j.jmsy.2015.10.004
10.1002/cctc.201600262
10.1016/S0360-3199(98)00015-9
10.1016/j.jcis.2021.06.152
10.1016/j.cej.2022.136105
10.1016/j.jpowsour.2014.05.075
10.1016/j.electacta.2015.09.061
10.1021/ja1036572
10.1016/j.ijhydene.2020.02.042
10.1021/acs.chemmater.8b05199
10.1002/celc.202100638
10.1002/chem.201302815
10.1021/cs400532p
10.1021/acs.iecr.9b00974
10.1016/j.jes.2020.09.027
10.1246/cl.1993.229
10.1021/nl303362s
10.1016/j.apsusc.2021.151321
10.1002/ep.12238
10.1016/j.ijheatmasstransfer.2016.09.030
10.1021/acssuschemeng.1c05907
10.3390/catal11050632
10.1039/c8ra06962j
10.1007/s40843-018-9315-5
10.1002/celc.201500301
10.1246/cl.2008.328
63.0
10.1149/07711.0525ecst
10.1021/es901908k
10.1002/aenm.201700482
10.1002/anie.201500659
10.1039/c4dt00321g
10.1016/j.jcis.2021.03.076
10.1007/s11164-011-0266-2
10.1007/s10008-012-1879-0
10.1016/j.aca.2008.04.056
10.1021/acs.energyfuels.9b01503
10.1016/S0926-860X(01)00894-8
10.4028/www.scientific.net/SSP.135.57
10.1021/acsomega.9b01534
10.1016/j.ijhydene.2019.12.223
10.1007/s40820-020-00456-8
10.1149/2.009211jes
10.1016/j.apcatb.2017.01.010
10.1007/s10008-017-3785-y
10.1021/jp908933r
10.1016/j.jcat.2006.02.018
10.1016/j.cattod.2015.06.012
10.1016/j.ijhydene.2018.05.147
10.1021/jp0687091
10.1016/j.matchemphys.2020.123238
10.1155/2014/960379
97.0
10.1016/j.compchemeng.2007.08.004
10.1016/j.jpowsour.2005.04.025
10.1149/1.3607968
10.1016/j.jcis.2019.09.038
10.1016/j.jechem.2016.01.008
10.1016/j.apcatb.2022.121549
10.1039/d0ta08004g
10.1021/acssuschemeng.2c02051
10.1021/ie5000505
10.1016/j.snb.2017.10.025
10.1016/j.ijhydene.2020.06.245
10.1073/pnas.80.22.7039
10.1039/c0cc05534d
10.1016/j.jcou.2016.04.002
10.1007/s12274-016-1147-1
10.1039/c6ra27559a
10.7234/composres.2019.32.6.355
10.1016/0304-5102(93)E0265-I
10.1016/j.apsusc.2021.149779
10.1016/j.jelechem.2008.11.010
10.1039/c7ta01430a
10.1016/j.biortech.2010.01.120
10.1007/s11356-019-07042-5
10.1021/acsami.9b22438
10.1007/s10971-018-4598-x
10.1002/fuce.201300039
10.1126/science.aay1844
10.1002/cctc.202000929
10.1016/j.electacta.2020.136827
10.1016/j.jclepro.2021.128680
10.3390/catal5031079
10.1016/j.cattod.2019.03.033
10.1016/j.ijhydene.2016.05.010
10.1016/j.cej.2022.136337
10.1016/j.nanoen.2015.02.025
10.1016/j.apcatb.2015.09.055
10.1115/1.3081424
10.1021/acscatal.8b00398
10.1016/j.jpowsour.2015.08.051
10.1039/d0nr00992j
10.1002/cssc.200800025
10.1016/j.ijhydene.2018.09.079
10.1039/c8nr06877a
10.1016/j.jpowsour.2022.230999
10.1016/j.apcatb.2019.118355
10.1016/0167-2738(92)90033-L
10.3390/cryst7020045
10.1039/c7cy01844d
10.1016/j.biombioe.2022.106528
10.1016/j.ijhydene.2017.05.175
10.1149/2.0081506eel
10.1088/1361-6528/aaaf3f
10.1039/c3dt52343h
10.1021/la800395k
10.1039/b111538n
10.1149/06403.0261ecst
10.1016/j.jcat.2016.10.029
10.1007/s10562-008-9770-4
10.1016/j.matchemphys.2012.11.006
10.1016/j.apmt.2020.100692
10.1016/j.bios.2015.11.026
10.1016/S0926-860X(03)00359-4
10.1016/j.jcis.2017.11.085
10.1016/j.jallcom.2018.08.142
10.1039/c8cy01778f
10.1002/cctc.201601470
10.1021/acscatal.8b01014
10.1039/c5ta02945g
10.1016/j.jhazmat.2007.04.095
10.1002/fuce.201400105
10.1021/jacs.6b04778
10.1016/j.apcatb.2021.120504
10.1088/1367-2630/abae87
10.1002/ppsc.201600426
10.1016/j.jpowsour.2021.230574
10.1016/j.elecom.2011.03.004
10.1039/c6cp08495h
10.1016/S1386-1425(99)00241-3
10.1016/j.apsusc.2021.149300
10.1134/S1023193507020036
10.1016/j.electacta.2007.12.029
10.1021/acscatal.7b01831
10.1039/c7ta00151g
10.1016/j.electacta.2019.134942
