10.1016/j.materresbull.2017.12.001
10.1021/acs.nanolett.7b00105
10.1002/ceat.201300170
10.1016/j.ijhydene.2015.05.177
10.1039/c8nr03162b
10.1021/la904377f
10.1007/s11356-022-19268-x
10.1002/anie.201611605
10.1016/j.jpowsour.2018.09.042
10.1002/adfm.202106886
10.1016/j.apmt.2018.09.001
10.1016/j.cej.2010.09.043
10.1021/acsaem.0c00262
10.1039/c5dt04924e
10.1002/aenm.202002706
10.1021/acsaem.0c03237
10.1016/j.ijhydene.2019.06.184
10.1016/j.talanta.2011.09.051
10.1016/j.cej.2022.135817
10.1016/j.jcat.2021.11.005
10.1016/j.jpowsour.2014.04.142
10.1016/j.electacta.2015.12.074
10.1016/j.cej.2022.134993
10.1002/anie.201805027
10.1007/s11595-010-0120-1
10.1016/j.apcatb.2019.118109
10.1016/j.ijhydene.2019.07.220
10.1021/acscatal.5b00055
10.1149/2.117165jes
10.1021/jacs.9b07448
10.1039/c7dt00819h
10.1016/j.jngse.2012.05.006
10.1016/j.apcatb.2019.118255
10.1016/j.nanoen.2018.07.043
10.3390/catal6030033
10.1039/c8fd00029h
10.1039/c9nr01735f
10.1039/d1cy01099a
10.1016/j.wasman.2021.07.024
10.1016/j.seppur.2020.116975
10.1007/s12274-022-4614-x
10.1016/j.jcis.2021.01.043
10.1016/j.jcis.2019.11.035
10.1021/jacs.0c10661
10.1021/acsenergylett.0c00321
10.1016/j.ceramint.2020.02.085
10.1039/c7cy00495h
10.1016/j.arabjc.2012.05.006
10.1002/adma.201806163
10.1021/jacs.8b03067
10.1016/j.matchemphys.2015.07.048
10.1039/c7ta00487g
10.1002/cjoc.202200143
10.1039/d1cc00535a
10.1002/cssc.202102526
10.1002/smll.202103798
10.3724/SP.J.1077.2010.00018
10.1021/acs.jpcc.8b06172
10.1016/j.cej.2018.12.171
10.3390/inorganics7060079
10.1002/bit.24549
10.1016/j.apcata.2005.05.024
10.1007/s10311-020-01001-0
10.1016/j.cattod.2013.06.003
10.1016/j.gee.2020.10.021
10.1002/cctc.201500471
10.1016/j.apenergy.2018.08.118
10.1021/cs400441u
10.1016/j.cej.2021.131830
10.1002/smll.201800763
10.1080/1362704X.2018.1533336
10.1016/j.apcata.2016.05.022
10.1016/j.electacta.2019.03.073
10.1016/j.carbon.2019.04.112
10.4028/www.scientific.net/MSF.544-545.51
10.1016/j.apcatb.2019.118543
10.1016/j.electacta.2020.135740
10.1016/j.ijhydene.2018.05.111
10.1039/c1ee01203g
10.1039/d1tc01556g
10.1016/j.chemosphere.2022.133997
10.1039/c0dt00454e
10.1002/adfm.201603021
10.1016/j.cattod.2018.03.023
10.1016/j.apcatb.2022.121430
10.1002/anie.201912836
10.1016/j.optmat.2020.110742
10.1021/jacs.1c10481
10.1016/j.electacta.2018.11.127
10.1016/j.materresbull.2019.110681
10.1016/j.apsusc.2019.143843
10.3390/catal12040357
10.1039/c9cc05522c
10.1021/acscatal.9b01582
10.1016/j.cej.2016.05.136
10.1016/j.ijhydene.2021.07.220
10.1002/cssc.201901439
10.1039/c6cc08240h
10.1039/d1tc01022k
10.1002/smll.201804764
10.1016/j.ces.2008.09.020
10.1016/j.envpol.2021.116691
10.1016/j.ijhydene.2015.07.123
10.1016/j.jcis.2020.05.053
10.1039/c8cc07784c
10.1002/cphc.201900902
10.1016/j.electacta.2018.05.035
10.1016/j.carbon.2019.05.034
10.1002/cctc.202000999
10.1039/d1ta02527a
10.1016/j.matlet.2021.130068
10.1016/j.apsusc.2021.149176
10.1002/anie.200704327
10.1002/asia.202000913
10.1016/j.apsusc.2022.152997
10.1039/d0nj03443f
10.1039/c9se00348g
10.1016/j.apcatb.2019.118466
10.1002/cptc.201900131
10.1021/acscatal.9b03899
10.1039/d0ta01680b
10.1021/acsami.9b09701
10.1016/j.apcata.2018.06.032
10.1007/s10562-020-03150-x
10.1021/acssuschemeng.0c04127
10.1016/j.apcatb.2019.01.027
10.1007/s10854-020-03059-6
10.1021/acs.iecr.6b03270
10.1016/j.jpowsour.2014.10.109
10.1039/c4ra10767e
10.1002/cctc.201800200
10.1002/adma.201604799
10.1002/ejic.202101086
10.1016/j.ultsonch.2019.104866
10.1002/gch2.201900087
10.1021/acsmaterialslett.1c00523
10.1002/cplu.201300175
10.1016/j.jechem.2021.08.066
10.1093/ml/gcv073
10.1021/acscatal.5b01803
10.1016/j.jcis.2020.09.116
10.1002/adfm.201803278
10.1016/j.ijhydene.2009.01.065
10.1016/j.apcatb.2020.119412
10.1007/s13404-020-00275-0
10.1046/j.1365-2648.1997.19970251205.x
10.1016/S0920-5861(00)00302-3
10.1021/acscatal.6b03182
10.1088/1361-6528/ab214c
10.1016/j.nanoen.2015.10.014
10.1016/j.apsusc.2016.10.077
10.1016/j.cjche.2018.03.001
10.1039/c4cc05285d
10.1016/j.fuel.2016.10.038
10.1021/acs.langmuir.7b01450
10.1007/s12678-013-0177-7
10.1016/j.jssc.2019.120961
10.1002/mren.200900072
10.1021/cs500441f
10.1016/j.jcis.2018.06.078
10.1002/chem.200801880
10.1038/s41467-019-12012-z
10.1021/acs.jpcc.8b05389
10.1016/j.apsusc.2019.05.163
10.1021/acsnano.9b07324
10.1002/adma.201803111
10.1038/s41598-021-99458-8
10.1016/j.jallcom.2005.01.115
10.1016/j.mtener.2020.100437
10.1039/d0qi00124d
10.1039/c9nr08795h
10.1016/j.apcatb.2017.03.076
10.1039/c7nj03629a
10.3390/ma14216506
10.1039/b918783a
10.1021/acssuschemeng.9b03731
10.1002/adfm.201703146
10.3390/nano12081316
10.1016/j.ijhydene.2022.01.018
10.1016/j.jcat.2017.09.015
10.1039/d1ee02013g
10.1007/s12274-016-1153-3
10.1002/jsfa.11623
10.1016/j.ijhydene.2010.07.125
10.1016/j.jcis.2021.05.003
10.1021/acssuschemeng.7b01646
10.1039/c5ra18737k
10.1016/j.cherd.2017.05.024
10.1016/j.cherd.2013.10.017
10.1039/c9nr10044j
10.1007/s10008-012-1918-x
10.1016/j.apsusc.2020.145830
10.1021/acsami.9b16981
10.1016/j.enconman.2017.06.010
10.1007/s40145-016-0203-3
10.1016/j.jcis.2018.09.075
10.1016/j.inoche.2021.108732
10.1038/nchem.2921
10.1038/s41929-022-00776-5
10.1016/j.pecs.2018.05.002
10.1016/j.mcat.2020.110890
10.1002/er.5713
10.1134/S1061933X16020150
10.1039/d1ee02369a
10.1146/annurev-physchem-052516-050655
10.1016/j.cej.2020.126533
10.1002/cssc.201403453
10.1016/j.ijhydene.2016.12.121
10.3390/met11111704
10.1021/acsami.8b20142
10.1016/j.ijhydene.2020.09.115
10.1002/er.7415
10.1021/ja00108a020
10.2190/F0DY-BNYJ-18RB-NNNY
10.1039/c8qi00317c
10.1016/j.energy.2022.124163
10.1016/j.mtener.2019.05.001
10.1016/j.jallcom.2018.12.191
10.1002/smll.202105082
10.1002/adfm.202106758
10.3390/catal8030111
10.1016/j.apcatb.2010.10.028
10.1039/d1ta04917h
10.1016/j.cej.2015.09.071
10.1007/s10311-020-01014-9
10.1002/ejic.202100367
10.1103/PhysRevLett.112.018301
10.1016/j.apsusc.2022.153420
10.1021/acsami.9b18304
10.1017/S0033583516000093
10.1002/smll.201906564
10.1007/s10853-018-3121-7
10.1002/smll.202105226
10.1016/j.ijhydene.2020.11.018
10.1016/j.ijhydene.2022.04.296
10.1016/j.cej.2021.132940
10.1007/s11051-016-3530-y
10.1039/d0ta04250a
10.1039/d0cy00421a
10.1002/anie.201402680
10.1016/j.enconman.2016.12.034
10.1016/j.molcata.2015.05.018
10.1016/j.apcatb.2012.07.023
10.1016/j.ijhydene.2016.05.287
10.1016/j.jallcom.2022.165332
10.1021/acs.inorgchem.9b01507
10.1021/ie050557t
10.1039/c4gc00747f
10.1021/acssuschemeng.2c02520
10.1021/acsaem.9b02130
10.1021/acsomega.0c00074
10.1016/j.jallcom.2022.165369
10.1016/j.cis.2020.102144
10.1038/s41598-021-87625-w
10.1016/j.apsusc.2016.07.055
10.1021/acs.inorgchem.8b02910
10.1021/acsami.2c02520
10.1081/FST-120016454
10.1039/c1dt11537e
10.1007/s11224-020-01636-3
10.5796/kogyobutsurikagaku.65.1039
10.1149/1945-7111/ac38f6
10.3390/catal9080636
10.1016/j.cej.2022.135074
10.1016/j.ijhydene.2021.11.221
10.3389/fenrg.2022.901395
10.1016/j.cej.2021.131131
10.1016/j.ijhydene.2019.09.202
10.1016/j.apsusc.2005.11.089
10.1016/j.cattod.2020.07.080
10.1021/ja3042383
