10.1039/d0dt01436b
10.1016/j.jcis.2019.06.079
10.1002/chem.201802898
10.1016/j.nanoen.2016.05.034
10.1016/j.proci.2006.07.075
10.1016/j.jssc.2021.122735
10.1016/j.cattod.2011.02.033
10.1007/s11708-021-0797-1
10.1016/S0926-3373(96)00055-0
10.1016/j.jpowsour.2015.05.094
10.1016/j.electacta.2017.05.131
10.1021/acscatal.8b00338
10.1016/j.apcatb.2022.121531
10.1002/admi.201701448
10.1002/adts.201800018
10.1021/acs.iecr.8b01848
10.1016/j.ijhydene.2020.07.269
10.1039/d2ra02671f
10.1039/c6ra14114e
10.3390/chemosensors8020044
10.1016/j.apcata.2012.09.035
10.1080/1536383X.2021.1938000
10.1021/jacs.7b11464
10.1126/sciadv.aao6657
10.1007/s10853-020-04371-6
10.1002/cssc.201403320
10.1039/c9ta03828k
10.1149/05801.1225ecst
10.1016/j.ijhydene.2013.03.006
10.1016/j.elecom.2020.106758
10.1016/j.apcata.2013.05.039
10.1016/j.nanoen.2021.106099
10.1038/s41467-020-16381-8
10.1016/j.nanoen.2020.105158
10.1149/2.1411809jes
10.1021/acsanm.1c04177
10.1016/j.jmrt.2021.11.134
10.1021/jp9034166
10.1007/s12274-014-0468-1
10.1039/c3nr34002c
10.1088/1361-6528/ab2af0
10.1007/s10800-008-9548-9
10.1016/j.carbon.2019.09.082
10.1016/j.catcom.2020.105969
10.1007/s40843-022-2021-y
10.1016/j.jcou.2019.07.014
10.1016/j.mcat.2021.111610
10.1016/j.apsusc.2022.153786
10.1006/jcat.1998.2376
10.1016/j.cplett.2021.138939
10.1007/s10853-020-04777-2
10.1039/c8ta11528a
10.1016/j.electacta.2017.11.177
10.1016/j.renene.2021.06.001
10.1016/j.nanoen.2019.104051
10.1002/slct.201800843
10.1016/S1872-2067(14)60173-X
10.1016/j.apmt.2018.09.008
10.1016/j.mtener.2018.10.010
10.1002/jccs.201900429
10.1021/acssuschemeng.2c03045
10.1039/d2nj01459a
10.1016/j.jpowsour.2015.09.081
10.1016/j.jelechem.2021.115874
10.1016/j.carbon.2022.03.024
10.3866/PKU.WHXB201603112
10.1016/j.fuel.2019.115719
10.1002/aenm.201702476
10.1002/smll.202105524
10.1021/jp030349j
10.1021/acssuschemeng.7b02841
10.1002/ente.201700681
10.1016/j.catcom.2016.08.011
10.1016/j.ijhydene.2022.05.002
10.1002/jctb.4575
10.1002/aenm.201803406
10.1016/j.apcatb.2021.120216
10.3390/catal10091030
10.1016/j.apcata.2014.11.014
10.1016/j.ijhydene.2018.02.163
10.1021/acscatal.0c05514
10.1021/acs.energyfuels.1c03174
10.1002/eem2.12210
10.1016/j.energy.2018.07.175
10.1021/acs.energyfuels.2c00696
10.1002/chem.201504279
10.1016/j.cej.2021.128492
10.1021/acs.jpca.8b02089
10.1016/j.ijhydene.2016.07.158
10.1016/j.ensm.2020.05.034
10.3155/1047-3289.61.1.14
10.1021/jacs.5b09021
10.1016/j.apsusc.2018.03.220
10.1007/s11581-020-03829-6
10.1016/j.jcis.2020.12.061
10.1016/j.jallcom.2021.160274
10.3866/PKU.WHXB20090427
10.1021/cm048860s
10.1021/acs.jpcc.9b00487
10.1016/j.comptc.2021.113292
10.1039/c7qi00427c
10.1002/anie.202202588
10.1002/celc.201800045
10.1016/S0926-3373(01)00191-6
10.1016/j.jclepro.2021.125858
10.1021/acscatal.0c03278
10.1002/kin.20194
10.1002/cssc.202001619
10.1016/j.cej.2021.129973
10.1021/acs.inorgchem.0c03202
10.1002/adfm.201803330
10.1039/c7se00153c
10.1260/0263-6174.29.10.927
10.1016/j.carbon.2016.10.029
10.1016/j.jpowsour.2020.227837
10.1016/j.ijhydene.2017.04.245
10.1021/acs.jpcc.0c00249
10.1016/j.tetasy.2004.03.023
10.4028/www.scientific.net/MSF.660-661.916
10.1007/s11244-017-0761-9
10.11862/CJIC.2019.028
10.1002/celc.201900320
10.1016/j.apcata.2004.11.017
10.1016/j.fuel.2013.11.045
10.1098/rsos.180925
10.1016/j.cej.2022.134576
10.1002/chem.201000801
10.1016/j.carbon.2021.11.026
10.1002/celc.202000502
10.1002/fuce.202000157
10.1016/j.mcat.2022.112510
10.1002/admi.201800515
10.1016/j.jpowsour.2018.10.036
10.1002/adma.202103133
10.1016/j.molcata.2005.08.013
10.1016/j.electacta.2019.134691
