,Element_Type,Occurence
1,C,219
2,N,199
3,Fe,134
4,Co,40
5,S,27
6,O,21
7,Pt,18
8,Zn,16
9,P,12
10,Ni,9
11,Cu,8
12,Cl,7
13,Mn,7
14,Pd,6
15,Ru,4
16,Se,4
17,Si,4
18,Na,4
19,B,3
20,F,3
21,Au,3
22,Ti,2
23,Mo,2
24,Sn,2
25,Ca,2
26,Ce,2
27,W,2
28,Ir,2
29,Te,1
30,Ag,1
31,Li,1
32,Sc,1
33,Rh,1
34,Mg,1
35,Pb,1
36,Cr,1
