,Element_Type,Occurence
1,C,167
2,P,153
3,Co,106
4,N,94
5,Ni,88
6,Mo,76
7,O,69
8,S,64
9,Ru,56
10,Fe,29
11,Cu,28
12,Pt,19
13,W,18
14,Rh,17
15,V,14
16,Se,13
17,Ir,11
18,B,11
19,Mn,9
20,Pd,8
21,Ti,6
22,Os,5
23,Re,3
24,F,3
25,Zn,3
26,Te,2
27,Nb,2
28,Si,2
29,Al,2
30,Na,2
31,Cr,2
32,Ce,1
33,K,1
34,Zr,1
35,Mg,1
36,In,1
37,Br,1
38,Ag,1
39,Li,1
40,Ge,1
41,Cl,1
42,Ca,1
43,Bi,1
