,Element_Type,Occurence
1,C,828
2,N,763
3,Fe,431
4,Co,285
5,O,177
6,S,120
7,P,76
8,Ni,70
9,Mn,49
10,Cu,38
11,Zn,38
12,Cl,25
13,Si,16
14,B,15
15,Pd,14
16,F,14
17,Pt,13
18,Mo,11
19,Ru,11
20,Ag,9
21,Na,8
22,Ti,8
23,W,6
24,La,6
25,Se,6
26,Ce,5
27,Ca,5
28,Ir,4
29,V,4
30,Rh,3
31,Sr,3
32,Au,3
33,Sm,2
34,Mg,2
35,Zr,2
36,Sn,2
37,Te,2
38,I,1
39,Nd,1
40,Li,1
41,Bi,1
42,In,1
43,Al,1
44,Rb,1
45,K,1
46,Sc,1
47,Ba,1
48,Sb,1
49,Po,1
50,Br,1
51,Re,1
