10.1016/j.molcata.2005.03.001
10.1016/j.synthmet.2018.08.009
10.1016/j.carbon.2012.05.037
10.1080/00986440802297651
10.1021/acsami.0c06460
10.1021/acscatal.2c00357
10.1016/j.jelechem.2016.03.003
10.3390/ma14185271
10.1016/j.jallcom.2011.02.087
10.1039/c8ta09589b
10.1063/5.0091145
10.1021/acs.jpcc.7b04434
10.1134/S1023193518050026
10.1016/j.enconman.2016.08.016
10.1016/j.poly.2020.114429
10.1039/c39880000881
10.1021/jp8078056
10.1149/1.3309725
10.1016/j.rechem.2022.100306
10.1021/acs.iecr.7b00993
10.1007/s11244-009-9182-8
10.1016/S0926-860X(99)00213-6
10.1016/j.electacta.2016.07.119
10.1016/j.ijhydene.2012.08.102
10.1039/c4nr05244g
10.1021/acsenergylett.0c02553
10.1007/s13361-019-02294-4
10.1016/j.jechem.2020.03.013
10.1016/j.cej.2022.136989
10.1016/j.jcat.2009.12.005
10.1039/c7cy00857k
10.1039/c002574g
10.1016/j.matchemphys.2010.03.057
10.1016/j.jelechem.2014.09.036
10.1016/j.inoche.2018.05.028
10.1016/j.molcata.2006.08.085
10.1039/c8nr00385h
10.1002/celc.201901875
10.1016/j.ecoenv.2016.11.013
10.1007/s10008-016-3449-3
10.1246/cl.2012.900
10.1007/s11837-015-1598-y
10.1016/j.electacta.2008.02.028
10.1002/slct.202000337
10.1039/d1cp03805b
10.1016/j.mtener.2018.02.007
10.1002/app.47597
10.5101/nml.v5i3.p202-212
10.1039/c3ta00527e
10.1002/elan.202200029
10.1039/cc9960002281
10.1557/JMR.2010.0163
10.1007/s11144-008-5223-8
10.1021/jp204293h
10.1002/chem.201202372
10.1007/s10973-015-4557-5
10.1007/s13738-017-1103-3
10.1002/cvde.19970030109
10.1016/S0166-9834(00)80424-8
10.1039/b612384h
10.1007/s11244-019-01158-1
10.1002/aenm.201801294
10.1016/j.jssc.2009.08.001
10.1007/s10008-014-2610-0
10.1016/j.ijhydene.2015.10.121
10.1134/S0965544121050030
10.3866/PKU.WHXB201907013
10.1016/j.apsusc.2013.11.019
10.1021/acsami.1c14348
10.1149/1.1576774
10.1007/s10562-020-03412-8
10.1016/j.jtice.2019.08.015
10.11868/j.issn.1001-1381.2020.000161
10.1007/s10562-007-9280-9
10.1016/j.ijhydene.2020.05.163
10.1016/j.jpowsour.2018.06.099
10.1002/cphc.202100407
10.1021/cm702335f
10.5796/electrochemistry.75.146
10.1007/s11051-017-4044-y
10.1016/S0926-860X(03)00633-1
10.1016/j.cattod.2016.08.011
10.1016/j.cattod.2009.01.050
10.1016/j.jpowsour.2009.11.123
10.1021/acs.jpcc.7b08714
10.1016/j.electacta.2016.08.133
10.1016/j.jpowsour.2006.07.024
10.1016/j.apsusc.2018.08.032
10.1016/j.matpr.2022.01.334
10.1016/S2095-4956(14)60215-1
10.1039/c8ra07586g
10.1016/B978-0-12-817386-2.00003-2
10.1016/j.jpowsour.2006.01.021
10.1002/cctc.201700310
10.1166/jnn.2021.18992
10.3390/catal5020747
10.1016/j.molcata.2005.12.015
10.1016/j.micromeso.2018.07.048
10.1016/j.apsusc.2010.01.124
10.1021/ja901653u
10.1007/s11244-007-9008-5
10.1016/j.electacta.2007.12.043
10.1016/j.matlet.2011.07.068
10.1021/om500617p
10.1016/0169-4332(92)90193-2
10.1023/A:1019014701674
10.1021/acsami.7b19727
10.1021/acscatal.6b02097
10.20964/2018.03.62
10.1007/BF02067733
10.1016/j.electacta.2010.11.013
10.1016/j.apsusc.2017.05.003
10.1002/cctc.201300905
10.1039/c1jm00077b
10.1016/j.electacta.2022.140566
10.1039/c3ra46323k
10.1021/jp0555448
10.1007/s10751-010-0176-5
10.1007/s10562-021-03862-8
10.1016/j.electacta.2007.02.061
10.1016/j.jpowsour.2014.03.131
10.3390/nano12030474
10.1007/s12274-021-3300-8
10.1002/anie.201800925
10.1016/j.carbon.2017.01.016
10.1002/ajoc.202100514
10.1016/j.jcis.2017.10.008
10.1080/15421400601028468
10.3390/catal11121431
10.1021/ja105392g
10.1039/c0jm04011h
